,Ano,Mes,Pais,Produto,Devolvidos
0,2010,12,Australia,RED RETROSPOT ROUND CAKE TINS,-1
1,2010,12,Australia,RED RETROSPOT TISSUE BOX,-5
2,2010,12,Australia,RETROSPOT PARTY BAG + STICKER SET,-7
3,2010,12,Austria,ANGEL DECORATION STARS ON DRESS,-48
4,2010,12,EIRE,AMETHYST DIAMANTE EXPANDABLE RING,-3
5,2010,12,EIRE,APRON APPLE DELIGHT,-12
6,2010,12,EIRE,BINGO SET,-4
7,2010,12,EIRE,BLACK DIAMANTE EXPANDABLE RING,-4
8,2010,12,EIRE,CARDHOLDER HOLLY WREATH METAL,-1
9,2010,12,EIRE,CHALKBOARD KITCHEN ORGANISER,-2
10,2010,12,EIRE,CHARLIE + LOLA RED HOT WATER BOTTLE,-24
11,2010,12,EIRE,CHARLIE+LOLA PINK HOT WATER BOTTLE,-24
12,2010,12,EIRE,CHRISTMAS DECOUPAGE CANDLE,-36
13,2010,12,EIRE,CHRISTMAS LIGHTS 10 REINDEER,-12
14,2010,12,EIRE,CHRISTMAS LIGHTS 10 SANTAS ,-10
15,2010,12,EIRE,COLOUR GLASS. STAR T-LIGHT HOLDER,-1
16,2010,12,EIRE,EDWARDIAN PARASOL BLACK,-6
17,2010,12,EIRE,EDWARDIAN PARASOL NATURAL,-6
18,2010,12,EIRE,EDWARDIAN PARASOL PINK,-6
19,2010,12,EIRE,EDWARDIAN PARASOL RED,-6
20,2010,12,EIRE,GINGHAM HEART  DOORSTOP RED,-6
21,2010,12,EIRE,GREEN CHRISTMAS TREE CARD HOLDER,-1
22,2010,12,EIRE,LARGE POPCORN HOLDER ,-1
23,2010,12,EIRE,OVEN MITT APPLES DESIGN,-10
24,2010,12,EIRE,PEG BAG APPLES DESIGN,-12
25,2010,12,EIRE,RED RETROSPOT PEG BAG,-12
26,2010,12,EIRE,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,-24
27,2010,12,EIRE,SET/3 CHRISTMAS DECOUPAGE CANDLES,-24
28,2010,12,EIRE,SMALL POPCORN HOLDER,-2
29,2010,12,EIRE,SMALLFOLKART BAUBLE CHRISTMAS DEC,-96
30,2010,12,EIRE,SWEETHEART RECIPE BOOK STAND,-10
31,2010,12,EIRE,TEA TIME OVEN GLOVE,-20
32,2010,12,EIRE,WHITE HANGING HEART T-LIGHT HOLDER,-24
33,2010,12,France,CHILDS BREAKFAST SET SPACEBOY ,-2
34,2010,12,France,DOLLY GIRL LUNCH BOX,-2
35,2010,12,France,LUNCH BAG DOLLY GIRL DESIGN,-3
36,2010,12,France,RECIPE BOX RETROSPOT ,-3
37,2010,12,France,SILK PURSE BABUSHKA BLUE,-1
38,2010,12,Germany,3 HOOK HANGER MAGIC GARDEN,-4
39,2010,12,Germany,36 FOIL HEART CAKE CASES,-2
40,2010,12,Germany,5 HOOK HANGER MAGIC TOADSTOOL,-5
41,2010,12,Germany,6 RIBBONS RUSTIC CHARM,-6
42,2010,12,Germany,ADVENT CALENDAR GINGHAM SACK,-4
43,2010,12,Germany,BLUE PADDED SOFT MOBILE,-3
44,2010,12,Germany,BREAD BIN DINER STYLE IVORY,-1
45,2010,12,Germany,CERAMIC STRAWBERRY CAKE MONEY BANK,-8
46,2010,12,Germany,CHILDREN'S SPACEBOY MUG,-7
47,2010,12,Germany,CHILDS BREAKFAST SET CIRCUS PARADE,-8
48,2010,12,Germany,CHILDS BREAKFAST SET SPACEBOY ,-4
49,2010,12,Germany,CIRCUS PARADE LUNCH BOX ,-1
50,2010,12,Germany,COFFEE MUG DOG + BALL DESIGN,-3
51,2010,12,Germany,DELUXE SEWING KIT ,-1
52,2010,12,Germany,EASTER TIN BUNNY BOUQUET,-6
53,2010,12,Germany,EASTER TIN CHICKS PINK DAISY,-6
54,2010,12,Germany,FRIDGE MAGNETS LES ENFANTS ASSORTED,-2
55,2010,12,Germany,FRYING PAN RED RETROSPOT,-4
56,2010,12,Germany,GIFT BAG BIRTHDAY,-2
57,2010,12,Germany,GLASS  BEURRE DISH,-2
58,2010,12,Germany,"HOOK, 1 HANGER ,MAGIC GARDEN",-2
59,2010,12,Germany,MILK PAN PINK POLKADOT,-1
60,2010,12,Germany,MILK PAN RED RETROSPOT,-1
61,2010,12,Germany,ORGANISER WOOD ANTIQUE WHITE ,-2
62,2010,12,Germany,OVEN MITT APPLES DESIGN,-1
63,2010,12,Germany,PACK OF 20 NAPKINS RED APPLES,-1
64,2010,12,Germany,PLASTERS IN TIN STRONGMAN,-4
65,2010,12,Germany,PLASTERS IN TIN WOODLAND ANIMALS,-2
66,2010,12,Germany,PORCELAIN HANGING BELL SMALL,-1
67,2010,12,Germany,POSTAGE,-1
68,2010,12,Germany,RED SPOTTY BISCUIT TIN,-3
69,2010,12,Germany,RED TOADSTOOL LED NIGHT LIGHT,-1
70,2010,12,Germany,REGENCY CAKESTAND 3 TIER,-21
71,2010,12,Germany,RETROSPOT PARTY BAG + STICKER SET,-2
72,2010,12,Germany,ROSE COTTAGE KEEPSAKE BOX ,-1
73,2010,12,Germany,SAVE THE PLANET COTTON TOTE BAG,-1
74,2010,12,Germany,SET 7 BABUSHKA NESTING BOXES,-2
75,2010,12,Germany,SET OF SALT AND PEPPER TOADSTOOLS,-7
76,2010,12,Germany,SET/5 RED RETROSPOT LID GLASS BOWLS,-6
