Ano,Mes,Pais,Produto,Lucro
2010,12,Australia,20 DOLLY PEGS RETROSPOT,30.0
2010,12,Australia,ALARM CLOCK BAKELIKE GREEN,15.0
2010,12,Australia,ALARM CLOCK BAKELIKE PINK,15.0
2010,12,Australia,ALARM CLOCK BAKELIKE RED ,15.0
2010,12,Australia,ASSORTED BOTTLE TOP  MAGNETS ,43.199999999999996
2010,12,Australia,BIRTHDAY PARTY CORDON BARRIER TAPE,30.0
2010,12,Australia,BLACK/BLUE POLKADOT UMBRELLA,17.85
2010,12,Australia,BLUE DINER WALL CLOCK,17.0
2010,12,Australia,CHRISTMAS LIGHTS 10 REINDEER,51.0
2010,12,Australia,CORONA MEXICAN TRAY,147.5
2010,12,Australia,DOORMAT RED RETROSPOT,31.8
2010,12,Australia,DOORMAT UNION FLAG,135.0
2010,12,Australia,IVORY DINER WALL CLOCK,17.0
2010,12,Australia,IVORY GIANT GARDEN THERMOMETER,71.4
2010,12,Australia,JUMBO BAG RED RETROSPOT,19.5
2010,12,Australia,LARGE HEART MEASURING SPOONS,59.39999999999999
2010,12,Australia,LOVEBIRD HANGING DECORATION WHITE ,10.2
2010,12,Australia,LUNCH BAG RED RETROSPOT,16.5
2010,12,Australia,PHARMACIE FIRST AID TIN,27.0
2010,12,Australia,PLASTERS IN TIN STRONGMAN,19.799999999999997
2010,12,Australia,PLASTERS IN TIN VINTAGE PAISLEY ,19.799999999999997
2010,12,Australia,RED DINER WALL CLOCK,17.0
2010,12,Australia,RED RETROSPOT ROUND CAKE TINS,-9.95
2010,12,Australia,RED RETROSPOT TISSUE BOX,-6.25
2010,12,Australia,RED RETROSPOT UMBRELLA,35.7
2010,12,Australia,RETROSPOT PARTY BAG + STICKER SET,-11.549999999999999
2010,12,Australia,SET OF 2 ROUND TINS CAMEMBERT ,17.700000000000003
2010,12,Australia,SET OF 3 COLOURED  FLYING DUCKS,32.7
2010,12,Australia,SET OF 3 GOLD FLYING DUCKS,25.4
2010,12,Australia,SMALL HEART MEASURING SPOONS,40.8
2010,12,Australia,VINTAGE HEADS AND TAILS CARD GAME ,15.0
2010,12,Australia,VINTAGE UNION JACK CUSHION COVER,39.6
2010,12,Austria,ANGEL DECORATION STARS ON DRESS,-20.16
2010,12,Austria,CERAMIC CAKE STAND + HANGING CAKES,68.0
2010,12,Austria,GREY HEART HOT WATER BOTTLE,15.0
2010,12,Austria,JAM JAR WITH PINK LID,10.2
2010,12,Austria,MINI CAKE STAND WITH HANGING CAKES,11.6
2010,12,Austria,OFFICE MUG WARMER PINK,17.700000000000003
2010,12,Austria,OFFICE MUG WARMER POLKADOT,17.700000000000003
2010,12,Austria,POSTAGE,120.0
2010,12,Austria,SET3 BOOK BOX GREEN GINGHAM FLOWER ,17.0
2010,12,Bahrain,OCEAN SCENT CANDLE IN JEWELLED BOX,205.74
2010,12,Belgium,12 PENCIL SMALL TUBE WOODLAND,15.600000000000001
2010,12,Belgium,12 PENCILS SMALL TUBE RED RETROSPOT,15.600000000000001
2010,12,Belgium,12 PENCILS SMALL TUBE SKULL,15.600000000000001
2010,12,Belgium,200 BENDY SKULL STRAWS,15.0
2010,12,Belgium,200 RED + WHITE BENDY STRAWS,15.0
2010,12,Belgium,72 SWEETHEART FAIRY CAKE CASES,13.200000000000001
2010,12,Belgium,ANTIQUE GLASS PEDESTAL BOWL,15.0
2010,12,Belgium,ASSORTED COLOUR BIRD ORNAMENT,13.52
2010,12,Belgium,BAG 125g SWIRLY MARBLES,5.04
2010,12,Belgium,BOUDOIR SQUARE TISSUE BOX,15.0
2010,12,Belgium,BOX OF 24 COCKTAIL PARASOLS,10.5
2010,12,Belgium,CABIN BAG VINTAGE RETROSPOT,38.25
2010,12,Belgium,CHARLOTTE BAG DOLLY GIRL DESIGN,8.5
2010,12,Belgium,CHARLOTTE BAG PINK POLKADOT,8.5
2010,12,Belgium,CHARLOTTE BAG SUKI DESIGN,17.0
2010,12,Belgium,DOLLY GIRL LUNCH BOX,23.4
2010,12,Belgium,DOORMAT RED RETROSPOT,15.9
2010,12,Belgium,EASTER TIN BUCKET,20.4
2010,12,Belgium,EASTER TIN BUNNY BOUQUET,9.899999999999999
2010,12,Belgium,HEARTS GIFT TAPE,4.5600000000000005
2010,12,Belgium,IVORY LOVE BIRD CANDLE,10.08
