,Ano,Mes,Pais,Produto,Vendidos
0,2010,12,Australia,20 DOLLY PEGS RETROSPOT,24
1,2010,12,Australia,ALARM CLOCK BAKELIKE GREEN,4
2,2010,12,Australia,ALARM CLOCK BAKELIKE PINK,4
3,2010,12,Australia,ALARM CLOCK BAKELIKE RED ,4
4,2010,12,Australia,ASSORTED BOTTLE TOP  MAGNETS ,120
5,2010,12,Australia,BIRTHDAY PARTY CORDON BARRIER TAPE,24
6,2010,12,Australia,BLACK/BLUE POLKADOT UMBRELLA,3
7,2010,12,Australia,BLUE DINER WALL CLOCK,2
8,2010,12,Australia,CHRISTMAS LIGHTS 10 REINDEER,6
9,2010,12,Australia,CORONA MEXICAN TRAY,50
10,2010,12,Australia,DOORMAT RED RETROSPOT,4
11,2010,12,Australia,DOORMAT UNION FLAG,20
12,2010,12,Australia,IVORY DINER WALL CLOCK,2
13,2010,12,Australia,IVORY GIANT GARDEN THERMOMETER,12
14,2010,12,Australia,JUMBO BAG RED RETROSPOT,10
15,2010,12,Australia,LARGE HEART MEASURING SPOONS,36
16,2010,12,Australia,LOVEBIRD HANGING DECORATION WHITE ,12
17,2010,12,Australia,LUNCH BAG RED RETROSPOT,10
18,2010,12,Australia,PHARMACIE FIRST AID TIN,4
19,2010,12,Australia,PLASTERS IN TIN STRONGMAN,12
20,2010,12,Australia,PLASTERS IN TIN VINTAGE PAISLEY ,12
21,2010,12,Australia,RED DINER WALL CLOCK,2
22,2010,12,Australia,RED RETROSPOT UMBRELLA,6
23,2010,12,Australia,SET OF 2 ROUND TINS CAMEMBERT ,6
24,2010,12,Australia,SET OF 3 COLOURED  FLYING DUCKS,6
25,2010,12,Australia,SET OF 3 GOLD FLYING DUCKS,4
26,2010,12,Australia,SMALL HEART MEASURING SPOONS,48
27,2010,12,Australia,VINTAGE HEADS AND TAILS CARD GAME ,12
28,2010,12,Australia,VINTAGE UNION JACK CUSHION COVER,8
29,2010,12,Austria,CERAMIC CAKE STAND + HANGING CAKES,8
30,2010,12,Austria,GREY HEART HOT WATER BOTTLE,4
31,2010,12,Austria,JAM JAR WITH PINK LID,12
32,2010,12,Austria,MINI CAKE STAND WITH HANGING CAKES,8
33,2010,12,Austria,OFFICE MUG WARMER PINK,6
34,2010,12,Austria,OFFICE MUG WARMER POLKADOT,6
35,2010,12,Austria,POSTAGE,3
36,2010,12,Austria,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4
37,2010,12,Bahrain,OCEAN SCENT CANDLE IN JEWELLED BOX,54
38,2010,12,Belgium,12 PENCIL SMALL TUBE WOODLAND,24
39,2010,12,Belgium,12 PENCILS SMALL TUBE RED RETROSPOT,24
40,2010,12,Belgium,12 PENCILS SMALL TUBE SKULL,24
41,2010,12,Belgium,200 BENDY SKULL STRAWS,12
42,2010,12,Belgium,200 RED + WHITE BENDY STRAWS,12
43,2010,12,Belgium,72 SWEETHEART FAIRY CAKE CASES,24
44,2010,12,Belgium,ANTIQUE GLASS PEDESTAL BOWL,4
45,2010,12,Belgium,ASSORTED COLOUR BIRD ORNAMENT,8
46,2010,12,Belgium,BAG 125g SWIRLY MARBLES,12
47,2010,12,Belgium,BOUDOIR SQUARE TISSUE BOX,12
48,2010,12,Belgium,BOX OF 24 COCKTAIL PARASOLS,25
49,2010,12,Belgium,CABIN BAG VINTAGE RETROSPOT,3
50,2010,12,Belgium,CHARLOTTE BAG DOLLY GIRL DESIGN,10
51,2010,12,Belgium,CHARLOTTE BAG PINK POLKADOT,10
52,2010,12,Belgium,CHARLOTTE BAG SUKI DESIGN,20
53,2010,12,Belgium,DOLLY GIRL LUNCH BOX,12
54,2010,12,Belgium,DOORMAT RED RETROSPOT,2
55,2010,12,Belgium,EASTER TIN BUCKET,8
56,2010,12,Belgium,EASTER TIN BUNNY BOUQUET,6
57,2010,12,Belgium,HEARTS GIFT TAPE,24
58,2010,12,Belgium,IVORY LOVE BIRD CANDLE,24
59,2010,12,Belgium,JUMBO BAG RED RETROSPOT,10
60,2010,12,Belgium,LARGE CAKE STAND HANGING HEARTS,4
61,2010,12,Belgium,LARGE RED RETROSPOT WINDMILL,6
62,2010,12,Belgium,MAGNETS PACK OF 4 RETRO PHOTO,24
63,2010,12,Belgium,MINI JIGSAW CIRCUS PARADE ,24
64,2010,12,Belgium,MINI JIGSAW DINOSAUR ,24
65,2010,12,Belgium,MINI JIGSAW DOLLY GIRL,24
